Parliamentary Constituency 2008 Code,Parliamentary Constituency 2008 Label,National Statistics Socio-economic Classification - 10 Categories Code,National Statistics Socio-economic Classification - 10 Categories Label,Count
N06000008,Foyle,3,L7: Intermediate occupations,9350
N06000008,Foyle,4,"L8, L9: Small employers and own account workers",5970
N06000008,Foyle,5,"L10, L11: Lower supervisory and technical occupations",3951
N06000008,Foyle,6,L12: Semi-routine occupations,10582
N06000008,Foyle,7,L13: Routine occupations,10593
N06000008,Foyle,8,"L14.1, L14.2: Never worked and long-term unemployed",13136
N06000008,Foyle,9,L15: Full-time students,6668
N06000008,Foyle,-8,No code required,22051
N06000009,Lagan Valley,1,"L1, L2, L3: Higher managerial, administrative and professional occupations",12345
N06000009,Lagan Valley,2,"L4, L5, L6: Lower managerial, administrative and professional occupations",19953
N06000009,Lagan Valley,3,L7: Intermediate occupations,11876
N06000009,Lagan Valley,4,"L8, L9: Small employers and own account workers",8277
N06000009,Lagan Valley,5,"L10, L11: Lower supervisory and technical occupations",4572
N06000009,Lagan Valley,6,L12: Semi-routine occupations,10442
N06000009,Lagan Valley,7,L13: Routine occupations,9751
N06000009,Lagan Valley,8,"L14.1, L14.2: Never worked and long-term unemployed",6558
N06000009,Lagan Valley,9,L15: Full-time students,5916
N06000009,Lagan Valley,-8,No code required,23017
N06000010,Mid Ulster,1,"L1, L2, L3: Higher managerial, administrative and professional occupations",6720
N06000010,Mid Ulster,2,"L4, L5, L6: Lower managerial, administrative and professional occupations",13919
N06000010,Mid Ulster,3,L7: Intermediate occupations,7428
N06000010,Mid Ulster,4,"L8, L9: Small employers and own account workers",11236
N06000010,Mid Ulster,5,"L10, L11: Lower supervisory and technical occupations",4875
N06000010,Mid Ulster,6,L12: Semi-routine occupations,8937
N06000010,Mid Ulster,7,L13: Routine occupations,13249
N06000010,Mid Ulster,8,"L14.1, L14.2: Never worked and long-term unemployed",9017
N06000010,Mid Ulster,9,L15: Full-time students,6374
N06000010,Mid Ulster,-8,No code required,24529
N06000011,Newry And Armagh,1,"L1, L2, L3: Higher managerial, administrative and professional occupations",7869
N06000011,Newry And Armagh,2,"L4, L5, L6: Lower managerial, administrative and professional occupations",16719
N06000011,Newry And Armagh,3,L7: Intermediate occupations,9638
N06000011,Newry And Armagh,4,"L8, L9: Small employers and own account workers",11111
N06000011,Newry And Armagh,5,"L10, L11: Lower supervisory and technical occupations",5469
N06000011,Newry And Armagh,6,L12: Semi-routine occupations,11019
N06000011,Newry And Armagh,7,L13: Routine occupations,14785
N06000011,Newry And Armagh,8,"L14.1, L14.2: Never worked and long-term unemployed",11063
N06000011,Newry And Armagh,9,L15: Full-time students,7266
N06000011,Newry And Armagh,-8,No code required,28116
N06000012,North Antrim,1,"L1, L2, L3: Higher managerial, administrative and professional occupations",7466
N06000012,North Antrim,2,"L4, L5, L6: Lower managerial, administrative and professional occupations",16059
N06000012,North Antrim,3,L7: Intermediate occupations,9425
N06000012,North Antrim,4,"L8, L9: Small employers and own account workers",10790
N06000012,North Antrim,5,"L10, L11: Lower supervisory and technical occupations",5554
N06000012,North Antrim,6,L12: Semi-routine occupations,11625
N06000012,North Antrim,7,L13: Routine occupations,14331
N06000012,North Antrim,8,"L14.1, L14.2: Never worked and long-term unemployed",8912
N06000012,North Antrim,9,L15: Full-time students,5747
N06000012,North Antrim,-8,No code required,22353
N06000013,North Down,1,"L1, L2, L3: Higher managerial, administrative and professional occupations",10902
N06000013,North Down,2,"L4, L5, L6: Lower managerial, administrative and professional occupations",17702
N06000013,North Down,3,L7: Intermediate occupations,11246
N06000013,North Down,4,"L8, L9: Small employers and own account workers",6612
N06000013,North Down,5,"L10, L11: Lower supervisory and technical occupations",3598
N06000013,North Down,6,L12: Semi-routine occupations,9543
N06000013,North Down,7,L13: Routine occupations,6540
N06000013,North Down,8,"L14.1, L14.2: Never worked and long-term unemployed",5500
N06000013,North Down,9,L15: Full-time students,4578
N06000013,North Down,-8,No code required,16948
N06000014,South Antrim,1,"L1, L2, L3: Higher managerial, administrative and professional occupations",9193
N06000014,South Antrim,2,"L4, L5, L6: Lower managerial, administrative and professional occupations",17582
N06000014,South Antrim,3,L7: Intermediate occupations,11571
N06000014,South Antrim,4,"L8, L9: Small employers and own account workers",7714
N06000014,South Antrim,5,"L10, L11: Lower supervisory and technical occupations",4778
N06000014,South Antrim,6,L12: Semi-routine occupations,10161
N06000014,South Antrim,7,L13: Routine occupations,10664
N06000014,South Antrim,8,"L14.1, L14.2: Never worked and long-term unemployed",6842
N06000014,South Antrim,9,L15: Full-time students,5874
N06000014,South Antrim,-8,No code required,22011
N06000015,South Down,1,"L1, L2, L3: Higher managerial, administrative and professional occupations",8337
N06000015,South Down,2,"L4, L5, L6: Lower managerial, administrative and professional occupations",16903
N06000015,South Down,3,L7: Intermediate occupations,9089
N06000015,South Down,4,"L8, L9: Small employers and own account workers",12767
N06000015,South Down,5,"L10, L11: Lower supervisory and technical occupations",4830
N06000015,South Down,6,L12: Semi-routine occupations,10402
N06000015,South Down,7,L13: Routine occupations,10806
N06000015,South Down,8,"L14.1, L14.2: Never worked and long-term unemployed",9330
N06000015,South Down,9,L15: Full-time students,6678
N06000015,South Down,-8,No code required,25147
N06000016,Strangford,1,"L1, L2, L3: Higher managerial, administrative and professional occupations",8093
N06000016,Strangford,2,"L4, L5, L6: Lower managerial, administrative and professional occupations",15425
N06000016,Strangford,3,L7: Intermediate occupations,10802
N06000016,Strangford,4,"L8, L9: Small employers and own account workers",8614
N06000016,Strangford,5,"L10, L11: Lower supervisory and technical occupations",4312
N06000016,Strangford,6,L12: Semi-routine occupations,9687
N06000016,Strangford,7,L13: Routine occupations,8470
N06000016,Strangford,8,"L14.1, L14.2: Never worked and long-term unemployed",6502
N06000016,Strangford,9,L15: Full-time students,4711
N06000016,Strangford,-8,No code required,17053
N06000017,Upper Bann,1,"L1, L2, L3: Higher managerial, administrative and professional occupations",9002
N06000017,Upper Bann,2,"L4, L5, L6: Lower managerial, administrative and professional occupations",18334
N06000017,Upper Bann,3,L7: Intermediate occupations,11714
N06000017,Upper Bann,4,"L8, L9: Small employers and own account workers",8696
N06000017,Upper Bann,5,"L10, L11: Lower supervisory and technical occupations",6524
N06000017,Upper Bann,6,L12: Semi-routine occupations,12527
N06000017,Upper Bann,7,L13: Routine occupations,18066
N06000017,Upper Bann,8,"L14.1, L14.2: Never worked and long-term unemployed",9567
N06000017,Upper Bann,9,L15: Full-time students,6705
N06000017,Upper Bann,-8,No code required,28385
N06000018,West Tyrone,1,"L1, L2, L3: Higher managerial, administrative and professional occupations",5391
N06000018,West Tyrone,2,"L4, L5, L6: Lower managerial, administrative and professional occupations",12249
N06000018,West Tyrone,3,L7: Intermediate occupations,7094
N06000018,West Tyrone,4,"L8, L9: Small employers and own account workers",9237
N06000018,West Tyrone,5,"L10, L11: Lower supervisory and technical occupations",3962
N06000018,West Tyrone,6,L12: Semi-routine occupations,8821
N06000018,West Tyrone,7,L13: Routine occupations,10691
N06000018,West Tyrone,8,"L14.1, L14.2: Never worked and long-term unemployed",10262
N06000018,West Tyrone,9,L15: Full-time students,5498
N06000018,West Tyrone,-8,No code required,19784
